Reference, Value, Footprint, Datasheet
T1,TC4-1T,minicircuits:TC4-1T,
K1,SMA F R/A,minicircuits:SMA_F_RA,
R1,100,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R2,100,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
U1,OPA26741C,SMD_Packages:SOIC-8-N,
R3,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C1,10 uF/16V,Capacitors_Tantalum_SMD:TantalC_SizeR_EIA-2012,
C2,100 nF,Capacitors_SMD:C_0805,
L1,Ferrite,Capacitors_SMD:C_0805_HandSoldering,
R7,4R99,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,4R99,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C3,100 nF,Capacitors_SMD:C_0805,
K2,SMA F R/A,minicircuits:SMA_F_RA,
P1,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,
T2,ADT1.5-1,minicircuits:ADT1.5-1,
